,movieId,title,genres,frequency,rating,popularity
922,1221,"Godfather: Part II, The (1974)",Crime|Drama,129.0,4.259689922,549.5
4909,7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,131.0,4.160305344,545.0
1734,2329,American History X (1998),Crime|Drama,129.0,4.217054264,544.0
914,1213,Goodfellas (1990),Crime|Drama,126.0,4.25,535.5
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,133.0,4.0187969919999995,534.5
4615,6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,131.0,3.9618320610000004,519.0
138,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,144.0,3.5555555560000003,512.0
3568,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,132.0,3.871212121,511.0
939,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,131.0,3.896946565,510.5
474,541,Blade Runner (1982),Action|Sci-Fi|Thriller,124.0,4.100806452,508.5
3622,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,120.0,4.183333333,502.0
325,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,157.0,3.1847133760000004,500.0
902,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,126.0,3.964285714,499.5
2836,3793,X-Men (2000),Action|Adventure|Sci-Fi,133.0,3.69924812,492.0
3640,4995,"Beautiful Mind, A (2001)",Drama|Romance,123.0,4.0,492.0
302,344,Ace Ventura: Pet Detective (1994),Comedy,161.0,3.040372671,489.5
436,500,Mrs. Doubtfire (1993),Comedy|Drama,144.0,3.388888889,488.0
907,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,120.0,3.995833333,479.5
5374,8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,125.0,3.8360000000000003,479.5
1291,1721,Titanic (1997),Drama|Romance,140.0,3.4142857139999996,478.0
1267,1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,125.0,3.812,476.5
275,316,Stargate (1994),Action|Adventure|Sci-Fi,140.0,3.375,472.5
514,597,Pretty Woman (1990),Comedy|Romance,135.0,3.485185185,470.5
32,34,Babe (1995),Children|Drama,128.0,3.65234375,467.5
9,10,GoldenEye (1995),Action|Adventure|Thriller,132.0,3.496212121,461.5
815,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,119.0,3.87394958,461.0
2372,3147,"Green Mile, The (1999)",Crime|Drama,111.0,4.148648649,460.5
836,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,122.0,3.766393443,459.5
3614,4963,Ocean's Eleven (2001),Crime|Thriller,119.0,3.844537815,457.5
6315,48516,"Departed, The (2006)",Crime|Drama|Thriller,107.0,4.2523364489999995,455.0
2038,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,120.0,3.775,453.0
909,1208,Apocalypse Now (1979),Action|Drama|War,107.0,4.2196261680000005,451.5
4159,5989,Catch Me If You Can (2002),Crime|Drama,115.0,3.92173913,451.0
5917,33794,Batman Begins (2005),Action|Crime|IMAX,116.0,3.8620689660000003,448.0
957,1258,"Shining, The (1980)",Horror,109.0,4.0825688069999995,445.0
592,733,"Rock, The (1996)",Action|Adventure|Thriller,121.0,3.640495868,440.5
3873,5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,120.0,3.6375,436.5
1979,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,140.0,3.107142857,435.0
1158,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,116.0,3.745689655,434.5
3562,4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,109.0,3.9816513760000003,434.0
3819,5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,122.0,3.540983607,432.0
3854,5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,112.0,3.816964286,427.5
98,111,Taxi Driver (1976),Crime|Drama|Thriller,104.0,4.105769231,427.0
1445,1968,"Breakfast Club, The (1985)",Comedy|Drama,113.0,3.778761062,427.0
4935,7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,110.0,3.868181818,425.5
